,10,20,30,40,50,60,70,80,90,100,mean
BGauss,7.34,7.99,7.24,7.60,7.56,7.26,7.66,7.42,8.07,8.88,7.70
CGauss,7.40,8.01,7.20,7.62,7.54,7.23,7.77,7.44,8.05,8.67,7.69
Jensen,7.43,7.95,7.23,7.75,7.56,7.22,7.69,7.42,8.03,8.63,7.69
Larsen,7.32,7.98,7.28,7.64,7.52,7.25,7.70,7.39,8.07,8.72,7.69
NGauss,7.23,8.02,7.23,7.71,7.55,7.24,7.70,7.39,8.36,8.98,7.74
SBGauss,7.24,7.99,7.24,7.60,7.54,7.26,7.67,7.41,8.07,9.00,7.70
TurboGauss,7.69,7.98,7.34,7.76,7.88,7.41,7.65,7.47,8.08,8.87,7.81
TurboJensen,7.43,8.03,7.20,7.64,7.55,7.24,7.71,7.44,8.04,8.53,7.68
ZGauss,7.41,7.96,7.26,7.65,7.54,7.24,7.69,7.44,8.06,8.48,7.67
Fuga,7.30,7.97,7.26,7.69,7.52,7.29,7.74,7.45,8.07,8.53,7.68
